description,category
Electric pole leaning dangerously after storm. please resolve urgently.,Electric Department
Electricity supply unstable with voltage drops.,Electric Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
Dustbins overflowing and attracting flies.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Roof leakage worsening due to heavy rain.,Building Department
"Electric cables exposed, risky for pedestrians.",Electric Department
"speed bump too high, damaging cars.",Road Department
Water supply interrupted for two days.,Water Supply Department
Uncollected garbage creating foul smell.,Sanitation Department
Pipeline damaged during road work.,Water Supply Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
manhole cover missing and cars getting stuck.,Road Department
Building foundation showing signs of sinking.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
wall near staircase damaged and unstable.,Building Department
Roof leakage worsening due to heavy rain.,Building Department
Transformer burst causing power outage.,Electric Department
staircase railing loose and unsafe.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Water flow extremely low despite full pressure.,Water Supply Department
drain overflows every time it rains.,Sanitation Department
Wall near staircase damaged and unstable.,Building Department
"Transformer overloaded, making loud noise.",Electric Department
Drain overflows every time it rains.,Sanitation Department
water pipes leaking heavily and flooding the area.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
Manhole overflowing with sewage water.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Dirty sewer water entering shops after rain.,Sewerage Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
Wall near staircase damaged and unstable.,Building Department
Tap connection broken causing leakage.,Water Supply Department
"electric cables exposed, risky for pedestrians.",Electric Department
"Roadside barrier broken, safety concern.",Road Department
drainage water entering houses after rain.,Sanitation Department
Cracks appearing on the walls of the building.,Building Department
sewer pipeline clogged completely.,Sewerage Department
low water pressure in all houses. please resolve urgently.,Water Supply Department
waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Street lights have been off for the past week. please resolve urgently.,Electric Department
Pipeline damaged during road work.,Water Supply Department
underground sewerage pipe damaged.,Sewerage Department
roof leakage worsening due to heavy rain.,Building Department
"Roadside  barrier  broken,  safety  concern.",Road Department
Road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Building foundation showing signs of sinking.,Building Department
Road divider damaged in an accident.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
manhole  cover  missing  and  cars  getting  stuck.,Road Department
Waste blocking the drainage system.,Sanitation Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
Sewage water stagnating near road.,Sewerage Department
Drain clogged and water stagnating.,Sanitation Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Drainage water overflowing in the street.,Sanitation Department
Drainage water entering houses after rain.,Sanitation Department
"street light bulb fused, area dark at night. please resolve urgently.",Electric Department
"electric cables exposed, risky for pedestrians.",Electric Department
Street lights have been off for the past week.,Electric Department
Roof leakage worsening due to heavy rain.,Building Department
Tap water muddy and smells bad.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Manhole cover missing and cars getting stuck.,Road Department
waste  blocking  the  drainage  system.,Sanitation Department
Street lights have been off for the past week.,Electric Department
Cracks appearing on the walls of the building.,Building Department
"roadside barrier broken, safety concern.",Road Department
Manhole cover missing and cars getting stuck.,Road Department
Drainage water overflowing in the street.,Sanitation Department
pipeline  burst  causing  water  wastage.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Electricity supply unstable with voltage drops.,Electric Department
Main pipeline leak creating swamp.,Water Supply Department
Sewer line blocked causing overflow.,Sewerage Department
Cracks appearing on the walls of the building. please resolve urgently.,Building Department
Drainage water overflowing in the street.,Sanitation Department
Wall near staircase damaged and unstable.,Building Department
"Roadside barrier broken, safety concern.",Road Department
Sewage leaking into nearby houses.,Sewerage Department
Sewer  line  blocked  causing  overflow.  please  resolve  urgently.,Sewerage Department
Road surface cracked and uneven.,Road Department
wall near staircase damaged and unstable.,Building Department
Street lights have been off for the past week.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Drainage water entering houses after rain.,Sanitation Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Water  flow  extremely  low  despite  full  pressure.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
Main pipeline leak creating swamp.,Water Supply Department
Pillar has developed major cracks after rain.,Building Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Manhole cover missing and cars getting stuck.,Road Department
Faded lane markings causing confusion. please resolve urgently.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
"Roadside barrier broken, safety concern. please resolve urgently.",Road Department
Staircase railing loose and unsafe.,Building Department
Sewage backflow in washrooms.,Sewerage Department
Garbage has not been collected for several days.,Sanitation Department
Street lights have been off for the past week.,Electric Department
Manhole cover broken and unsafe.,Sewerage Department
Cracks appearing on the walls of the building.,Building Department
potholes filled with water after rain.,Road Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Drainage water entering houses after rain.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
power outage since early morning due to faulty wires.,Electric Department
drainage water overflowing in the street.,Sanitation Department
Potholes  filled  with  water  after  rain.,Road Department
Drain clogged and water stagnating.,Sanitation Department
"Street light bulb fused, area dark at night.",Electric Department
main pipeline leak creating swamp.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
Manhole cover missing and cars getting stuck. please resolve urgently.,Road Department
Tap connection broken causing leakage.,Water Supply Department
Electric pole leaning dangerously after storm.,Electric Department
Sewer line blocked causing overflow.,Sewerage Department
Road divider damaged in an accident.,Road Department
Drain clogged and water stagnating.,Sanitation Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Current pole damaged and sparking.,Electric Department
Potholes filled with water after rain. please resolve urgently.,Road Department
Footpath broken and unsafe for walking.,Road Department
Dustbins overflowing and attracting flies.,Sanitation Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Waste blocking the drainage system.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
uncollected garbage creating foul smell.,Sanitation Department
Footpath broken and unsafe for walking.,Road Department
"Transformer overloaded, making loud noise. please resolve urgently.",Electric Department
Low water pressure in all houses.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Underground sewerage pipe damaged.,Sewerage Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
Sewage backflow in washrooms.,Sewerage Department
current pole damaged and sparking.,Electric Department
Wall near staircase damaged and unstable. please resolve urgently.,Building Department
Manhole cover broken and unsafe.,Sewerage Department
Pillar has developed major cracks after rain.,Building Department
Road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Potholes filled with water after rain.,Road Department
railing on the staircase is broken and dangerous.,Building Department
Tap  connection  broken  causing  leakage.,Water Supply Department
Underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
Road divider damaged in an accident.,Road Department
open sewer line giving foul smell.,Sewerage Department
Low water pressure in all houses.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
Sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
"Speed bump too high, damaging cars.",Road Department
manhole overflowing with sewage water.,Sewerage Department
Balcony railing rusted and may break.,Building Department
Manhole cover missing and cars getting stuck.,Road Department
Uncollected garbage creating foul smell. please resolve urgently.,Sanitation Department
pillar has developed major cracks after rain.,Building Department
water pipes leaking heavily and flooding the area.,Water Supply Department
Faded lane markings causing confusion.,Road Department
drain overflows every time it rains.,Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
garbage has not been collected for several days.,Sanitation Department
Road full of potholes causing damage to vehicles.,Road Department
Waste blocking the drainage system. please resolve urgently.,Sanitation Department
"transformer overloaded, making loud noise. please resolve urgently.",Electric Department
Pillar has developed major cracks after rain.,Building Department
Power outage since early morning due to faulty wires.,Electric Department
structural damage visible on the outer wall.,Building Department
Road divider damaged in an accident.,Road Department
pillar has developed major cracks after rain.,Building Department
drainage water overflowing in the street.,Sanitation Department
Drain overflows every time it rains.,Sanitation Department
Sewage water stagnating near road.,Sewerage Department
Sewer pipeline clogged completely.,Sewerage Department
structural damage visible on the outer wall.,Building Department
drainage water entering houses after rain.,Sanitation Department
Electricity  supply  unstable  with  voltage  drops.  please  resolve  urgently.,Electric Department
Street lights have been off for the past week.,Electric Department
Electricity supply unstable with voltage drops.,Electric Department
pipeline burst causing water wastage. please resolve urgently.,Water Supply Department
Faded lane markings causing confusion.,Road Department
Sewer pipeline clogged completely.,Sewerage Department
Transformer burst causing power outage.,Electric Department
Transformer burst causing power outage.,Electric Department
Garbage  has  not  been  collected  for  several  days.  please  resolve  urgently.,Sanitation Department
Drain overflows every time it rains.,Sanitation Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
Uncollected garbage creating foul smell.,Sanitation Department
Underground sewerage pipe damaged.,Sewerage Department
Sewage backflow in washrooms.,Sewerage Department
Power outage since early morning due to faulty wires.,Electric Department
Main pipeline leak creating swamp.,Water Supply Department
sewage backflow in washrooms.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
"Speed bump too high, damaging cars. please resolve urgently.",Road Department
"street light bulb fused, area dark at night.",Electric Department
Current pole damaged and sparking.,Electric Department
sewer pipeline clogged completely.,Sewerage Department
"Speed bump too high, damaging cars. please resolve urgently.",Road Department
Manhole cover broken and unsafe.,Sewerage Department
"speed bump too high, damaging cars.",Road Department
"Street light bulb fused, area dark at night.",Electric Department
Manhole cover broken and unsafe.,Sewerage Department
Footpath broken and unsafe for walking.,Road Department
Main pipeline leak creating swamp.,Water Supply Department
Sewage water stagnating near road.,Sewerage Department
ceiling plaster falling off in the hallway.,Building Department
Water  supply  interrupted  for  two  days.,Water Supply Department
building  foundation  showing  signs  of  sinking.,Building Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Drainage water overflowing in the street.,Sanitation Department
Pillar  has  developed  major  cracks  after  rain.,Building Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Structural damage visible on the outer wall.,Building Department
Open sewer line giving foul smell.,Sewerage Department
Sewage leaking into nearby houses.,Sewerage Department
Street lights have been off for the past week.,Electric Department
Structural damage visible on the outer wall.,Building Department
Drain clogged and water stagnating.,Sanitation Department
Sewer pipeline clogged completely.,Sewerage Department
Drainage water entering houses after rain.,Sanitation Department
Wall near staircase damaged and unstable.,Building Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
"Street light bulb fused, area dark at night.",Electric Department
Underground sewerage pipe damaged.,Sewerage Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Street lights have been off for the past week.,Electric Department
Wall near staircase damaged and unstable.,Building Department
ceiling plaster falling off in the hallway.,Building Department
building foundation showing signs of sinking.,Building Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
loose electric wires hanging near the road.,Electric Department
Drainage water overflowing in the street.,Sanitation Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
water  supply  interrupted  for  two  days.,Water Supply Department
Road surface cracked and uneven.,Road Department
manhole  cover  missing  and  cars  getting  stuck.,Road Department
garbage has not been collected for several days.,Sanitation Department
Wall near staircase damaged and unstable. please resolve urgently.,Building Department
Dirty sewer water entering shops after rain.,Sewerage Department
open sewer line giving foul smell. please resolve urgently.,Sewerage Department
underground sewerage pipe damaged.,Sewerage Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
Faded lane markings causing confusion.,Road Department
sewage water stagnating near road.,Sewerage Department
drain clogged and water stagnating. please resolve urgently.,Sanitation Department
road full of potholes causing damage to vehicles.,Road Department
loose electric wires hanging near the road.,Electric Department
Potholes  filled  with  water  after  rain.,Road Department
Cracks appearing on the walls of the building.,Building Department
Structural damage visible on the outer wall.,Building Department
dirty sewer water entering shops after rain.,Sewerage Department
footpath  broken  and  unsafe  for  walking.,Road Department
Sewer line blocked causing overflow.,Sewerage Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
drain clogged and water stagnating.,Sanitation Department
No water supply since morning.,Water Supply Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Staircase  railing  loose  and  unsafe.  please  resolve  urgently.,Building Department
Staircase railing loose and unsafe.,Building Department
Drainage water overflowing in the street.,Sanitation Department
sewer pipeline clogged completely.,Sewerage Department
Waste accumulation causing mosquito breeding.,Sanitation Department
uncollected garbage creating foul smell.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
Transformer burst causing power outage.,Electric Department
pillar has developed major cracks after rain.,Building Department
Water flow extremely low despite full pressure.,Water Supply Department
potholes filled with water after rain.,Road Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Dustbins overflowing and attracting flies.,Sanitation Department
pipeline damaged during road work.,Water Supply Department
Sewage leaking into nearby houses.,Sewerage Department
Street lights have been off for the past week.,Electric Department
Sewer pipeline clogged completely. please resolve urgently.,Sewerage Department
Sewage leaking into nearby houses.,Sewerage Department
building foundation showing signs of sinking.,Building Department
manhole  cover  broken  and  unsafe.  please  resolve  urgently.,Sewerage Department
Drainage water overflowing in the street.,Sanitation Department
Road divider damaged in an accident.,Road Department
Building foundation showing signs of sinking.,Building Department
Drain clogged and water stagnating. please resolve urgently.,Sanitation Department
"Roadside barrier broken, safety concern.",Road Department
Cracks appearing on the walls of the building.,Building Department
"Street light bulb fused, area dark at night. please resolve urgently.",Electric Department
Dirty sewer water entering shops after rain.,Sewerage Department
Road divider damaged in an accident. please resolve urgently.,Road Department
Manhole cover missing and cars getting stuck.,Road Department
Power outage since early morning due to faulty wires.,Electric Department
Sewage  leaking  into  nearby  houses.,Sewerage Department
Sewer line blocked causing overflow. please resolve urgently.,Sewerage Department
Power outage since early morning due to faulty wires.,Electric Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Current pole damaged and sparking.,Electric Department
Manhole cover broken and unsafe.,Sewerage Department
dirty sewer water entering shops after rain.,Sewerage Department
Garbage has not been collected for several days.,Sanitation Department
cracks appearing on the walls of the building.,Building Department
road surface cracked and uneven.,Road Department
Staircase railing loose and unsafe. please resolve urgently.,Building Department
Building  foundation  showing  signs  of  sinking.,Building Department
Pipeline damaged during road work. please resolve urgently.,Water Supply Department
pipeline damaged during road work.,Water Supply Department
Drain clogged and water stagnating.,Sanitation Department
"street light bulb fused, area dark at night.",Electric Department
Sewer line blocked causing overflow.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
no water supply since morning.,Water Supply Department
Ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
Street lights have been off for the past week.,Electric Department
Garbage has not been collected for several days.,Sanitation Department
Wall near staircase damaged and unstable.,Building Department
Staircase railing loose and unsafe.,Building Department
Water flow extremely low despite full pressure.,Water Supply Department
Pipeline damaged during road work.,Water Supply Department
"electric cables exposed, risky for pedestrians.",Electric Department
drainage  water  entering  houses  after  rain.  please  resolve  urgently.,Sanitation Department
Dustbins overflowing and attracting flies.,Sanitation Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
ceiling plaster falling off in the hallway. please resolve urgently.,Building Department
Sewer  line  blocked  causing  overflow.,Sewerage Department
Structural damage visible on the outer wall.,Building Department
Dustbins  overflowing  and  attracting  flies.,Sanitation Department
Railing on the staircase is broken and dangerous. please resolve urgently.,Building Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
Cracks appearing on the walls of the building.,Building Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
Road surface cracked and uneven.,Road Department
sewer line blocked causing overflow.,Sewerage Department
Pipeline damaged during road work.,Water Supply Department
Waste accumulation causing mosquito breeding. please resolve urgently.,Sanitation Department
Low water pressure in all houses.,Water Supply Department
Open sewer line giving foul smell.,Sewerage Department
Ceiling plaster falling off in the hallway.,Building Department
Pillar has developed major cracks after rain.,Building Department
Transformer burst causing power outage.,Electric Department
Loose electric wires hanging near the road.,Electric Department
Garbage has not been collected for several days.,Sanitation Department
Sewage water stagnating near road.,Sewerage Department
Manhole cover broken and unsafe.,Sewerage Department
Transformer burst causing power outage. please resolve urgently.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
roof leakage worsening due to heavy rain.,Building Department
Power outage since early morning due to faulty wires.,Electric Department
Sewage  leaking  into  nearby  houses.,Sewerage Department
Dirty sewer water entering shops after rain.,Sewerage Department
Balcony railing rusted and may break.,Building Department
Road surface cracked and uneven. please resolve urgently.,Road Department
Waste blocking the drainage system. please resolve urgently.,Sanitation Department
cracks appearing on the walls of the building.,Building Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Loose electric wires hanging near the road.,Electric Department
"Garbage dumped on roadside, health hazard.",Sanitation Department
"Transformer overloaded, making loud noise.",Electric Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Power outage since early morning due to faulty wires.,Electric Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
Current pole damaged and sparking.,Electric Department
Cracks appearing on the walls of the building. please resolve urgently.,Building Department
Garbage has not been collected for several days.,Sanitation Department
Sewer pipeline clogged completely.,Sewerage Department
low water pressure in all houses.,Water Supply Department
Power outage since early morning due to faulty wires.,Electric Department
Uncollected  garbage  creating  foul  smell.,Sanitation Department
Road surface cracked and uneven. please resolve urgently.,Road Department
dirty sewer water entering shops after rain. please resolve urgently.,Sewerage Department
"Roadside barrier broken, safety concern.",Road Department
Sewage backflow in washrooms. please resolve urgently.,Sewerage Department
Waste blocking the drainage system.,Sanitation Department
Open sewer line giving foul smell.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Sewage backflow in washrooms. please resolve urgently.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Electric pole leaning dangerously after storm.,Electric Department
Street lights have been off for the past week.,Electric Department
Power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Uncollected garbage creating foul smell.,Sanitation Department
Road full of potholes causing damage to vehicles. please resolve urgently.,Road Department
Loose electric wires hanging near the road.,Electric Department
Drain  overflows  every  time  it  rains.,Sanitation Department
Electric pole leaning dangerously after storm.,Electric Department
Transformer burst causing power outage.,Electric Department
Faded lane markings causing confusion.,Road Department
Current pole damaged and sparking.,Electric Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
Drain clogged and water stagnating.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
manhole cover missing and cars getting stuck.,Road Department
Drain overflows every time it rains. please resolve urgently.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
Drain clogged and water stagnating.,Sanitation Department
roof leakage worsening due to heavy rain. please resolve urgently.,Building Department
Street lights have been off for the past week.,Electric Department
Staircase  railing  loose  and  unsafe.,Building Department
potholes filled with water after rain.,Road Department
"Street light bulb fused, area dark at night.",Electric Department
Structural damage visible on the outer wall.,Building Department
Railing on the staircase is broken and dangerous.,Building Department
Railing on the staircase is broken and dangerous.,Building Department
Street  lights  have  been  off  for  the  past  week.,Electric Department
Road divider damaged in an accident.,Road Department
Drain clogged and water stagnating.,Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
Main pipeline leak creating swamp.,Water Supply Department
Potholes filled with water after rain.,Road Department
Pipeline burst causing water wastage.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
"street light bulb fused, area dark at night.",Electric Department
water pipes leaking heavily and flooding the area.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
tap connection broken causing leakage.,Water Supply Department
Main pipeline leak creating swamp.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
"street light bulb fused, area dark at night.",Electric Department
Drain clogged and water stagnating.,Sanitation Department
building foundation showing signs of sinking.,Building Department
Underground sewerage pipe damaged.,Sewerage Department
current pole damaged and sparking.,Electric Department
Pillar has developed major cracks after rain.,Building Department
Dustbins overflowing and attracting flies.,Sanitation Department
Building foundation showing signs of sinking.,Building Department
Loose  electric  wires  hanging  near  the  road.,Electric Department
Railing on the staircase is broken and dangerous.,Building Department
Staircase railing loose and unsafe.,Building Department
Drainage water entering houses after rain.,Sanitation Department
Dustbins overflowing and attracting flies.,Sanitation Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Road surface cracked and uneven.,Road Department
Water  supply  interrupted  for  two  days.,Water Supply Department
Railing on the staircase is broken and dangerous. please resolve urgently.,Building Department
Pipeline burst causing water wastage.,Water Supply Department
"Electric cables exposed, risky for pedestrians.",Electric Department
Wall near staircase damaged and unstable.,Building Department
"speed bump too high, damaging cars.",Road Department
Footpath broken and unsafe for walking. please resolve urgently.,Road Department
electricity supply unstable with voltage drops.,Electric Department
ceiling  plaster  falling  off  in  the  hallway.,Building Department
Low water pressure in all houses.,Water Supply Department
Tap water muddy and smells bad. please resolve urgently.,Water Supply Department
"Electric cables exposed, risky for pedestrians. please resolve urgently.",Electric Department
Railing  on  the  staircase  is  broken  and  dangerous.,Building Department
"garbage dumped on roadside, health hazard.",Sanitation Department
Water supply interrupted for two days. please resolve urgently.,Water Supply Department
Water flow extremely low despite full pressure.,Water Supply Department
Manhole cover missing and cars getting stuck.,Road Department
Drainage water entering houses after rain.,Sanitation Department
Structural damage visible on the outer wall. please resolve urgently.,Building Department
"transformer overloaded, making loud noise.",Electric Department
Road divider damaged in an accident.,Road Department
Water pipes leaking heavily and flooding the area.,Water Supply Department
Road divider damaged in an accident.,Road Department
Power outage since early morning due to faulty wires.,Electric Department
Street lights have been off for the past week.,Electric Department
Balcony railing rusted and may break. please resolve urgently.,Building Department
Pillar has developed major cracks after rain.,Building Department
Waste  blocking  the  drainage  system.,Sanitation Department
Loose electric wires hanging near the road.,Electric Department
Waste blocking the drainage system.,Sanitation Department
Waste  accumulation  causing  mosquito  breeding.,Sanitation Department
Dirty sewer water entering shops after rain.,Sewerage Department
sewage leaking into nearby houses. please resolve urgently.,Sewerage Department
Current pole damaged and sparking. please resolve urgently.,Electric Department
transformer burst causing power outage.,Electric Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Garbage has not been collected for several days. please resolve urgently.,Sanitation Department
Waste accumulation causing mosquito breeding.,Sanitation Department
Main pipeline leak creating swamp.,Water Supply Department
sewage backflow in washrooms.,Sewerage Department
Drain overflows every time it rains.,Sanitation Department
Road surface cracked and uneven.,Road Department
Garbage has not been collected for several days.,Sanitation Department
Pipeline damaged during road work.,Water Supply Department
Road full of potholes causing damage to vehicles.,Road Department
Staircase railing loose and unsafe.,Building Department
Water supply interrupted for two days.,Water Supply Department
"Roadside barrier broken, safety concern.",Road Department
structural damage visible on the outer wall.,Building Department
Speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.  please  resolve  urgently.,Road Department
"Roadside barrier broken, safety concern.",Road Department
Electric pole leaning dangerously after storm.,Electric Department
"Transformer overloaded, making loud noise.",Electric Department
Wall near staircase damaged and unstable. please resolve urgently.,Building Department
Road full of potholes causing damage to vehicles.,Road Department
ceiling plaster falling off in the hallway.,Building Department
Tap connection broken causing leakage. please resolve urgently.,Water Supply Department
power outage since early morning due to faulty wires.,Electric Department
Pipeline burst causing water wastage.,Water Supply Department
Water supply interrupted for two days.,Water Supply Department
Speed  breakers  are  not  marked  properly  and  vehicles  are  slipping.  please  resolve  urgently.,Road Department
Pipeline burst causing water wastage.,Water Supply Department
Drainage water entering houses after rain.,Sanitation Department
Manhole cover missing and cars getting stuck.,Road Department
transformer burst causing power outage.,Electric Department
Underground sewerage pipe damaged. please resolve urgently.,Sewerage Department
"transformer overloaded, making loud noise.",Electric Department
drain clogged and water stagnating.,Sanitation Department
power outage since early morning due to faulty wires. please resolve urgently.,Electric Department
Drain clogged and water stagnating.,Sanitation Department
Garbage has not been collected for several days.,Sanitation Department
Potholes filled with water after rain.,Road Department
uncollected garbage creating foul smell.,Sanitation Department
pipeline damaged during road work. please resolve urgently.,Water Supply Department
Railing on the staircase is broken and dangerous.,Building Department
Cracks appearing on the walls of the building.,Building Department
Water supply interrupted for two days.,Water Supply Department
no water supply since morning.,Water Supply Department
Tap water muddy and smells bad.,Water Supply Department
cracks appearing on the walls of the building.,Building Department
"Speed bump too high, damaging cars.",Road Department
Current pole damaged and sparking.,Electric Department
Speed breakers are not marked properly and vehicles are slipping.,Road Department
Pillar has developed major cracks after rain.,Building Department
tap water muddy and smells bad. please resolve urgently.,Water Supply Department
Drainage water overflowing in the street. please resolve urgently.,Sanitation Department
manhole cover broken and unsafe.,Sewerage Department
Underground sewerage pipe damaged.,Sewerage Department
Roof leakage worsening due to heavy rain.,Building Department
Uncollected  garbage  creating  foul  smell.  please  resolve  urgently.,Sanitation Department
No water supply since morning.,Water Supply Department
Building foundation showing signs of sinking.,Building Department
Main pipeline leak creating swamp.,Water Supply Department
Footpath broken and unsafe for walking.,Road Department
Main  pipeline  leak  creating  swamp.  please  resolve  urgently.,Water Supply Department
Waste accumulation causing mosquito breeding.,Sanitation Department
faded lane markings causing confusion.,Road Department
wall near staircase damaged and unstable.,Building Department
Pipeline damaged during road work.,Water Supply Department
