description,category
"pipeline burst, wasting clean water water.",Water Supply Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
"Pipeline burst, wasting clean water water.",Water Supply Department
"transformer burst near main road, area in darkness electricity.",Electric Department
Water leakage near main valve causing loss water.,Water Supply Department
No water supply since morning water. please fix soon.,Water Supply Department
Electric poles leaning after heavy wind electric.,Electric Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Power outage in the locality due to cable fault electricity.,Electric Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Broken plaster on house walls after monsoon building.,Building Department
Short circuit in electric pole causing sparks electricity.,Electric Department
The house next door showing wall cracks and leakage building.,Building Department
"Low water pressure at taps, tanks not filling water.",Water Supply Department
Manhole cover missing near crossing sewerage.,Sewerage Department
No water in our street for two days supply.,Water Supply Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Wall has collapsed partially due to old structure building.,Building Department
manhole overflowing with dirty water sewerage.,Sewerage Department
Road under construction blocking vehicle passage block.,Road Department
Cracked road surface needs urgent repair block.,Road Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Electric wires hanging dangerously after the rain electric.,Electric Department
overflowing drain flooding nearby roads drainage. please fix soon.,Sanitation Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
"Street light bulb fused, road dark at night electric.",Electric Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
Main road blocked after heavy rain block. please fix soon.,Road Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Building foundation sinking due to rainwater damage building.,Building Department
Power outage in the locality due to cable fault electricity. please fix soon.,Electric Department
Footpath damaged and debris blocking walkway block.,Road Department
Main road blocked after heavy rain block.,Road Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
"Pipeline burst, wasting clean water water.",Water Supply Department
"Street light bulb fused, road dark at night electric.",Electric Department
Foul odor spreading from manhole sewerage.,Sewerage Department
short circuit in electric pole causing sparks electricity.,Electric Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
"Construction of the flat left incomplete, wall broken building.",Building Department
Cracked road surface needs urgent repair block.,Road Department
Cracks in the roof and pillars after the storm building.,Building Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Footpath damaged and debris blocking walkway block.,Road Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
"drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
Sewer water entering shops after rain sewerage. please fix soon.,Sewerage Department
"Street light bulb fused, road dark at night electric.",Electric Department
sewer line blocked causing overflow sewerage.,Sewerage Department
Building foundation sinking due to rainwater damage building.,Building Department
Manhole cover missing near crossing sewerage.,Sewerage Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
Building foundation sinking due to rainwater damage building.,Building Department
Garbage truck hasn’t come for four days waste.,Sanitation Department
"Structure weakened after earthquake, pillars shaking building.",Building Department
Tap water dirty and smells bad water. please fix soon.,Water Supply Department
sewer water entering shops after rain sewerage.,Sewerage Department
No water in our street for two days supply.,Water Supply Department
Overflowing drain flooding nearby roads drainage. please fix soon.,Sanitation Department
"No current since morning, transformer damaged electricity.",Electric Department
Broken road surface creating traffic jams block.,Road Department
Drainage water overflowing near houses drainage.,Sanitation Department
broken road surface creating traffic jams block.,Road Department
Vehicles stuck due to potholes and mud on road block. please fix soon.,Road Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Foul odor spreading from manhole sewerage.,Sewerage Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Electric wires hanging dangerously after the rain electric. please fix soon.,Electric Department
"Drain clogged after rain, water stagnating drainage.",Sanitation Department
Foul odor spreading from manhole sewerage.,Sewerage Department
Footpath damaged and debris blocking walkway block.,Road Department
"No current since morning, transformer damaged electricity.",Electric Department
potholes filled with rainwater making travel hard block.,Road Department
Building foundation sinking due to rainwater damage building.,Building Department
There are cracks appearing near the admin building in our college building.,Building Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
Drinking water brown and muddy water.,Water Supply Department
foul odor spreading from manhole sewerage.,Sewerage Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Road under construction blocking vehicle passage block.,Road Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Cracks in the roof and pillars after the storm building.,Building Department
Manhole overflowing with dirty water sewerage. please fix soon.,Sewerage Department
No power supply in our colony since yesterday electricity.,Electric Department
Damaged bridge creating traffic block block.,Road Department
Building foundation sinking due to rainwater damage building.,Building Department
Cracks in the roof and pillars after the storm building.,Building Department
Garbage heap near market creating pollution waste.,Sanitation Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Manhole cover missing near crossing sewerage.,Sewerage Department
No water supply since morning water.,Water Supply Department
"Pipeline damaged due to construction, water leaking supply. please fix soon.",Water Supply Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Dust and stones on road blocking lane block.,Road Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
The house next door showing wall cracks and leakage building.,Building Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
Tap water dirty and smells bad water.,Water Supply Department
Dust and stones on road blocking lane block.,Road Department
Transformer overloaded and making loud noise electric.,Electric Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Short circuit in electric pole causing sparks electricity.,Electric Department
Sewer water entering shops after rain sewerage.,Sewerage Department
"Street light bulb fused, road dark at night electric.",Electric Department
Cracked road surface needs urgent repair block. please fix soon.,Road Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
"Structure weakened after earthquake, pillars shaking building.",Building Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
"No current since morning, transformer damaged electricity.",Electric Department
Transformer overloaded and making loud noise electric.,Electric Department
Broken road surface creating traffic jams block.,Road Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
Road under construction blocking vehicle passage block.,Road Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
Drinking water brown and muddy water.,Water Supply Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
Potholes filled with rainwater making travel hard block.,Road Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
"Drain clogged after rain, water stagnating drainage.",Sanitation Department
Garbage truck hasn’t come for four days waste.,Sanitation Department
Dust and stones on road blocking lane block. please fix soon.,Road Department
Drinking water brown and muddy water.,Water Supply Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
Manhole overflowing with dirty water sewerage.,Sewerage Department
transformer overloaded and making loud noise electric.,Electric Department
"Street light bulb fused, road dark at night electric.",Electric Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Power outage in the locality due to cable fault electricity.,Electric Department
electric poles leaning after heavy wind electric. please fix soon.,Electric Department
Potholes on road causing vehicle damage block. please fix soon.,Road Department
Electric poles leaning after heavy wind electric.,Electric Department
plastic waste blocking drainage near school drainage.,Sanitation Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
electric poles leaning after heavy wind electric. please fix soon.,Electric Department
No water in our street for two days supply.,Water Supply Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
Manhole cover missing near crossing sewerage. please fix soon.,Sewerage Department
Old apartment wall cracked and plaster falling building.,Building Department
open sewer line near park unsafe for children sewerage.,Sewerage Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Dust and stones on road blocking lane block.,Road Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Street lights not working for a week electric.,Electric Department
Broken road surface creating traffic jams block.,Road Department
Drainage water overflowing near houses drainage.,Sanitation Department
Overflowing drain flooding nearby roads drainage. please fix soon.,Sanitation Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Damaged bridge creating traffic block block.,Road Department
"structure weakened after earthquake, pillars shaking building.",Building Department
Electric poles leaning after heavy wind electric.,Electric Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Broken road surface creating traffic jams block. please fix soon.,Road Department
The house next door showing wall cracks and leakage building. please fix soon.,Building Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Tap water dirty and smells bad water.,Water Supply Department
Short circuit in electric pole causing sparks electricity.,Electric Department
Street lights not working for a week electric.,Electric Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Drinking water brown and muddy water.,Water Supply Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
No water supply since morning water.,Water Supply Department
Transformer overloaded and making loud noise electric.,Electric Department
The house next door showing wall cracks and leakage building.,Building Department
Drainage water overflowing near houses drainage.,Sanitation Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Broken plaster on house walls after monsoon building.,Building Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Power outage in the locality due to cable fault electricity.,Electric Department
main road blocked after heavy rain block.,Road Department
Sewer line blocked causing overflow sewerage. please fix soon.,Sewerage Department
Electric poles leaning after heavy wind electric.,Electric Department
Electric wires hanging dangerously after the rain electric.,Electric Department
Cracked road surface needs urgent repair block.,Road Department
There are cracks appearing near the admin building in our college building.,Building Department
Tap water dirty and smells bad water.,Water Supply Department
"Drain clogged after rain, water stagnating drainage.",Sanitation Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
Drinking water brown and muddy water.,Water Supply Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
Wall has collapsed partially due to old structure building.,Building Department
Damaged bridge creating traffic block block.,Road Department
Broken plaster on house walls after monsoon building. please fix soon.,Building Department
overflowing drain flooding nearby roads drainage. please fix soon.,Sanitation Department
Power outage in the locality due to cable fault electricity.,Electric Department
Main road blocked after heavy rain block.,Road Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Electric wires hanging dangerously after the rain electric.,Electric Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
The house next door showing wall cracks and leakage building.,Building Department
Vehicles stuck due to potholes and mud on road block. please fix soon.,Road Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
The house next door showing wall cracks and leakage building.,Building Department
Wall has collapsed partially due to old structure building.,Building Department
"No current since morning, transformer damaged electricity.",Electric Department
Foul odor spreading from manhole sewerage.,Sewerage Department
Electric wires hanging dangerously after the rain electric.,Electric Department
The house next door showing wall cracks and leakage building.,Building Department
Drinking water brown and muddy water.,Water Supply Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
Potholes on road causing vehicle damage block.,Road Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Vehicles stuck due to potholes and mud on road block.,Road Department
No power supply in our colony since yesterday electricity.,Electric Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
No power supply in our colony since yesterday electricity.,Electric Department
Building foundation sinking due to rainwater damage building. please fix soon.,Building Department
"street light bulb fused, road dark at night electric.",Electric Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
No water supply since morning water.,Water Supply Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
main road blocked after heavy rain block.,Road Department
Broken road surface creating traffic jams block.,Road Department
Manhole overflowing with dirty water sewerage.,Sewerage Department
Sewer water entering shops after rain sewerage. please fix soon.,Sewerage Department
Broken plaster on house walls after monsoon building.,Building Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Building foundation sinking due to rainwater damage building.,Building Department
"Street light bulb fused, road dark at night electric.",Electric Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"Low water pressure at taps, tanks not filling water.",Water Supply Department
"Construction of the flat left incomplete, wall broken building.",Building Department
Broken plaster on house walls after monsoon building.,Building Department
Garbage truck hasn’t come for four days waste.,Sanitation Department
Power outage in the locality due to cable fault electricity. please fix soon.,Electric Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Damaged bridge creating traffic block block.,Road Department
Drinking water brown and muddy water.,Water Supply Department
"low water pressure at taps, tanks not filling water.",Water Supply Department
Drainage water overflowing near houses drainage.,Sanitation Department
Street lights not working for a week electric.,Electric Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Broken plaster on house walls after monsoon building. please fix soon.,Building Department
Drinking water brown and muddy water.,Water Supply Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
"Construction of the flat left incomplete, wall broken building.",Building Department
Potholes filled with rainwater making travel hard block.,Road Department
Drinking water brown and muddy water.,Water Supply Department
"Low water pressure at taps, tanks not filling water.",Water Supply Department
"No current since morning, transformer damaged electricity. please fix soon.",Electric Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
Main road blocked after heavy rain block.,Road Department
No power supply in our colony since yesterday electricity.,Electric Department
Main road blocked after heavy rain block.,Road Department
vehicles stuck due to potholes and mud on road block.,Road Department
Sewer water entering shops after rain sewerage.,Sewerage Department
Tap water dirty and smells bad water.,Water Supply Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
dust and stones on road blocking lane block.,Road Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
There are cracks appearing near the admin building in our college building. please fix soon.,Building Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
No power supply in our colony since yesterday electricity. please fix soon.,Electric Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Construction of the flat left incomplete, wall broken building.",Building Department
wall has collapsed partially due to old structure building.,Building Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
"Ceiling leaking during heavy rain, unsafe for residents building. please fix soon.",Building Department
Dust and stones on road blocking lane block.,Road Department
Uncollected waste causing foul smell in colony garbage. please fix soon.,Sanitation Department
Old apartment wall cracked and plaster falling building.,Building Department
"Low water pressure at taps, tanks not filling water.",Water Supply Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
"No current since morning, transformer damaged electricity.",Electric Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
"Transformer burst near main road, area in darkness electricity.",Electric Department
Garbage truck hasn’t come for four days waste.,Sanitation Department
"Structure weakened after earthquake, pillars shaking building.",Building Department
Vehicles stuck due to potholes and mud on road block.,Road Department
Cracked road surface needs urgent repair block.,Road Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Sewer water entering shops after rain sewerage.,Sewerage Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
Building foundation sinking due to rainwater damage building.,Building Department
Drainage water overflowing near houses drainage.,Sanitation Department
Potholes filled with rainwater making travel hard block.,Road Department
old apartment wall cracked and plaster falling building.,Building Department
Water leakage near main valve causing loss water.,Water Supply Department
No power supply in our colony since yesterday electricity.,Electric Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Drinking water brown and muddy water. please fix soon.,Water Supply Department
Cracked road surface needs urgent repair block.,Road Department
Potholes on road causing vehicle damage block.,Road Department
"Drain clogged after rain, water stagnating drainage.",Sanitation Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Broken plaster on house walls after monsoon building.,Building Department
Vehicles stuck due to potholes and mud on road block.,Road Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
No water supply since morning water. please fix soon.,Water Supply Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Dust and stones on road blocking lane block. please fix soon.,Road Department
"Street light bulb fused, road dark at night electric.",Electric Department
"low water pressure at taps, tanks not filling water.",Water Supply Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
Garbage heap near market creating pollution waste. please fix soon.,Sanitation Department
Manhole cover missing near crossing sewerage.,Sewerage Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Street lights not working for a week electric.,Electric Department
"Structure weakened after earthquake, pillars shaking building.",Building Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Cracked road surface needs urgent repair block.,Road Department
Power outage in the locality due to cable fault electricity.,Electric Department
Cracked road surface needs urgent repair block.,Road Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Foul odor spreading from manhole sewerage.,Sewerage Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
tap water dirty and smells bad water.,Water Supply Department
Main road blocked after heavy rain block.,Road Department
Old apartment wall cracked and plaster falling building.,Building Department
No water in our street for two days supply. please fix soon.,Water Supply Department
Broken plaster on house walls after monsoon building.,Building Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Road under construction blocking vehicle passage block. please fix soon.,Road Department
Manhole overflowing with dirty water sewerage.,Sewerage Department
"No current since morning, transformer damaged electricity.",Electric Department
Cracked road surface needs urgent repair block.,Road Department
Garbage heap near market creating pollution waste.,Sanitation Department
Main road blocked after heavy rain block. please fix soon.,Road Department
plastic waste blocking drainage near school drainage.,Sanitation Department
No power supply in our colony since yesterday electricity. please fix soon.,Electric Department
Dust and stones on road blocking lane block.,Road Department
broken plaster on house walls after monsoon building.,Building Department
Power outage in the locality due to cable fault electricity.,Electric Department
Electric poles leaning after heavy wind electric. please fix soon.,Electric Department
No power supply in our colony since yesterday electricity.,Electric Department
Electric poles leaning after heavy wind electric.,Electric Department
Water leakage near main valve causing loss water.,Water Supply Department
Short circuit in electric pole causing sparks electricity.,Electric Department
"Structure weakened after earthquake, pillars shaking building.",Building Department
Drinking water brown and muddy water.,Water Supply Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
"Pipeline damaged due to construction, water leaking supply.",Water Supply Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
The house next door showing wall cracks and leakage building.,Building Department
"No current since morning, transformer damaged electricity.",Electric Department
cracked road surface needs urgent repair block.,Road Department
Vehicles stuck due to potholes and mud on road block.,Road Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
No water in our street for two days supply.,Water Supply Department
Main road blocked after heavy rain block. please fix soon.,Road Department
Transformer overloaded and making loud noise electric.,Electric Department
electric wires hanging dangerously after the rain electric.,Electric Department
drinking water brown and muddy water.,Water Supply Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Vehicles stuck due to potholes and mud on road block.,Road Department
Sewer water entering shops after rain sewerage. please fix soon.,Sewerage Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
No water supply since morning water.,Water Supply Department
Broken plaster on house walls after monsoon building.,Building Department
Transformer overloaded and making loud noise electric.,Electric Department
"Ceiling leaking during heavy rain, unsafe for residents building.",Building Department
Tap water dirty and smells bad water.,Water Supply Department
"Construction of the flat left incomplete, wall broken building.",Building Department
"Pipeline burst, wasting clean water water.",Water Supply Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
Broken plaster on house walls after monsoon building.,Building Department
Plastic waste blocking drainage near school drainage.,Sanitation Department
Garbage heap near market creating pollution waste.,Sanitation Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
Drainage water overflowing near houses drainage.,Sanitation Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
potholes on road causing vehicle damage block.,Road Department
Uncollected waste causing foul smell in colony garbage.,Sanitation Department
Manhole cover missing near crossing sewerage.,Sewerage Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Main road blocked after heavy rain block.,Road Department
The house next door showing wall cracks and leakage building.,Building Department
Cracked road surface needs urgent repair block.,Road Department
"Pipeline burst, wasting clean water water.",Water Supply Department
damaged bridge creating traffic block block.,Road Department
Road under construction blocking vehicle passage block.,Road Department
uncollected waste causing foul smell in colony garbage.,Sanitation Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
"Street light bulb fused, road dark at night electric.",Electric Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Drainage water overflowing near houses drainage.,Sanitation Department
Sewer water entering shops after rain sewerage.,Sewerage Department
"No current since morning, transformer damaged electricity.",Electric Department
Waste dumped openly on roadside attracting animals garbage.,Sanitation Department
Drainage water overflowing near houses drainage.,Sanitation Department
sewage leaking into houses after rainfall sewerage. please fix soon.,Sewerage Department
manhole cover missing near crossing sewerage. please fix soon.,Sewerage Department
Main road blocked after heavy rain block.,Road Department
No water supply since morning water.,Water Supply Department
Open sewer line near park unsafe for children sewerage.,Sewerage Department
Short circuit in electric pole causing sparks electricity.,Electric Department
Street lights not working for a week electric.,Electric Department
Overflowing drain flooding nearby roads drainage.,Sanitation Department
"Pipeline burst, wasting clean water water.",Water Supply Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Drinking water brown and muddy water.,Water Supply Department
"No supply since yesterday, taps completely dry water. please fix soon.",Water Supply Department
the house next door showing wall cracks and leakage building.,Building Department
Electric wires hanging dangerously after the rain electric.,Electric Department
Underground pipeline broken and releasing foul smell sewerage.,Sewerage Department
Tap water dirty and smells bad water. please fix soon.,Water Supply Department
"Street light bulb fused, road dark at night electric.",Electric Department
Tap water dirty and smells bad water.,Water Supply Department
Footpath damaged and debris blocking walkway block.,Road Department
Broken road surface creating traffic jams block.,Road Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
open sewer line near park unsafe for children sewerage.,Sewerage Department
sewage leaking into houses after rainfall sewerage.,Sewerage Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Damaged bridge creating traffic block block.,Road Department
Broken road surface creating traffic jams block.,Road Department
Potholes on road causing vehicle damage block.,Road Department
manhole overflowing with dirty water sewerage.,Sewerage Department
Power outage in the locality due to cable fault electricity.,Electric Department
Overflowing dustbins attracting flies and mosquitoes garbage.,Sanitation Department
Sewage leaking into houses after rainfall sewerage.,Sewerage Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
sewage leaking into houses after rainfall sewerage.,Sewerage Department
Sewer line blocked causing overflow sewerage.,Sewerage Department
Broken plaster on house walls after monsoon building.,Building Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
"No supply since yesterday, taps completely dry water.",Water Supply Department
Electric poles leaning after heavy wind electric.,Electric Department
Broken plaster on house walls after monsoon building.,Building Department
"Tap connection broken, water continuously leaking water.",Water Supply Department
"Sewage backflow in washrooms, needs urgent cleaning sewerage.",Sewerage Department
Broken plaster on house walls after monsoon building.,Building Department
The house next door showing wall cracks and leakage building.,Building Department
"No current since morning, transformer damaged electricity.",Electric Department
no water in our street for two days supply.,Water Supply Department
Vehicles stuck due to potholes and mud on road block. please fix soon.,Road Department
Road under construction blocking vehicle passage block.,Road Department
Underground sewerage clogged and overflowing sewerage.,Sewerage Department
"Drainage not cleaned for weeks, water stagnant drainage.",Sanitation Department
