description,category
Sewer pipeline damaged causing leakages.,Sewerage Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Electric wires snapped and lying on the road.,Electric Department
Power  supply  interrupted  due  to  damaged  electric  pole. please resolve this issue soon.,Electric Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Electric wires snapped and lying on the road.,Electric Department
sewer line overflowing and spreading dirty water.,Sewerage Department
"Old  flat  wall  plaster  has  fallen  off,  unsafe  for  residents.",Building Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Newly built road already showing cracks and uneven surface.,Road Department
Damaged footpath blocking safe walking area. please resolve this issue soon.,Road Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
sewage backflow inside homes during rainfall.,Sewerage Department
"electric transformer making loud noise, possible fire risk.",Electric Department
Water supply disrupted due to pump malfunction.,Water Supply Department
there is a power outage in our area since morning.,Electric Department
No water supply in the colony since morning.,Water Supply Department
sewer pipeline damaged causing leakages.,Sewerage Department
electric poles damaged due to storm.,Electric Department
"No garbage issue today, area looks clean.",Sanitation Department
There is a power outage in our area since morning.,Electric Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Newly built road already showing cracks and uneven surface.,Road Department
Tap water supply irregular since last week.,Water Supply Department
Current fluctuation damaging home appliances.,Electric Department
Sewage leaking from pipeline near footpath.,Sewerage Department
"Plaster peeling from walls, building looks unsafe. please resolve this issue soon.",Building Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
"Building structure fine, no cracks visible.",Building Department
"Water pressure too low, unable to fill tank. please resolve this issue soon.",Water Supply Department
No  water  in  tank  even  after  scheduled  supply  time.,Water Supply Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Underground sewage clogged, foul smell spreading. please resolve this issue soon.",Sewerage Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Electric wires snapped and lying on the road.,Electric Department
"water pressure too low, unable to fill tank.",Water Supply Department
Wires hanging dangerously near the electric pole.,Electric Department
"House foundation damaged, wall tilting slightly.",Building Department
Water coming muddy and not suitable for drinking.,Water Supply Department
New house construction encroaching on public property.,Building Department
Building structure showing deep cracks after heavy rain.,Building Department
Potholes filled with water causing vehicle skidding.,Road Department
No  water  supply  in  the  colony  since  morning. please resolve this issue soon.,Water Supply Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Road damaged badly due to heavy traffic and rain.,Road Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Low water pressure in our area since yesterday.,Water Supply Department
"Drinking water contaminated, smells bad.",Water Supply Department
Drainage line blocked with plastic and debris.,Sanitation Department
The  road  near  the  hospital  has  large  potholes. please resolve this issue soon.,Road Department
New house construction encroaching on public property.,Building Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
Wires hanging dangerously near the electric pole.,Electric Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Building structure showing deep cracks after heavy rain.,Building Department
drainage  line  blocked  with  plastic  and  debris.,Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
Tap water supply irregular since last week. please resolve this issue soon.,Water Supply Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Water coming muddy and not suitable for drinking. please resolve this issue soon.,Water Supply Department
Damaged footpath blocking safe walking area.,Road Department
Electric wires snapped and lying on the road.,Electric Department
Road repair work incomplete for several weeks.,Road Department
"electric transformer making loud noise, possible fire risk.",Electric Department
"No electricity since last night, transformer seems burnt.",Electric Department
No water supply in the colony since morning.,Water Supply Department
"No garbage issue today, area looks clean.",Sanitation Department
"Water pressure too low, unable to fill tank.",Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
Uncollected garbage making the area unhygienic.,Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
new house construction encroaching on public property.,Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Cracks have appeared on the wall of the community building.,Building Department
The road near the hospital has large potholes. please resolve this issue soon.,Road Department
Blocked sewer line needs urgent cleaning.,Sewerage Department
No water supply in the colony since morning.,Water Supply Department
Sewer pipeline damaged causing leakages.,Sewerage Department
pipeline leakage near valve leading to water loss.,Water Supply Department
Building under construction without safety barricades.,Building Department
The ceiling in our apartment is about to collapse.,Building Department
Road repair work incomplete for several weeks. please resolve this issue soon.,Road Department
Uncollected garbage making the area unhygienic.,Sanitation Department
Electric wires snapped and lying on the road.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Potholes on main road causing accidents during rain.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
"Road full of potholes, needs immediate repair.",Road Department
"House foundation damaged, wall tilting slightly.",Building Department
Power  supply  interrupted  due  to  damaged  electric  pole. please resolve this issue soon.,Electric Department
"electric transformer making loud noise, possible fire risk.",Electric Department
New house construction encroaching on public property.,Building Department
Building under construction without safety barricades.,Building Department
Street lights are not working in our colony.,Electric Department
Potholes on main road causing accidents during rain.,Road Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
Street lights are not working in our colony.,Electric Department
Electric wires snapped and lying on the road.,Electric Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
manhole overflowing with sewage water on street. please resolve this issue soon.,Sewerage Department
the  road  near  the  hospital  has  large  potholes.,Road Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Manhole overflowing with sewage water on street. please resolve this issue soon.,Sewerage Department
Building under construction without safety barricades.,Building Department
There is a power outage in our area since morning.,Electric Department
Electric poles damaged due to storm.,Electric Department
The  drainage  is  overflowing  due  to  heavy  rain.,Sanitation Department
Tap water supply irregular since last week.,Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Sewer pipeline damaged causing leakages. please resolve this issue soon.,Sewerage Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
"Drinking water contaminated, smells bad. please resolve this issue soon.",Water Supply Department
Water supply working fine with good pressure.,Water Supply Department
"Road  full  of  potholes,  needs  immediate  repair.",Road Department
Transformer burst causing short circuit and power failure. please resolve this issue soon.,Electric Department
Electric wires snapped and lying on the road.,Electric Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Building structure showing deep cracks after heavy rain.,Building Department
the roof of the building is leaking during rainfall.,Building Department
Wires hanging dangerously near the electric pole.,Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
"Road full of potholes, needs immediate repair.",Road Department
Road  repair  work  incomplete  for  several  weeks.,Road Department
Wires hanging dangerously near the electric pole.,Electric Department
"Sewer lines cleaned recently, no overflow seen.",Sewerage Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
No water in tank even after scheduled supply time.,Water Supply Department
Current fluctuation damaging home appliances.,Electric Department
Damaged footpath blocking safe walking area.,Road Department
Current fluctuation damaging home appliances.,Electric Department
Pipeline leakage near valve leading to water loss. please resolve this issue soon.,Water Supply Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
Water supply disrupted due to pump malfunction.,Water Supply Department
Tap water supply irregular since last week.,Water Supply Department
Road repair work incomplete for several weeks.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
drainage line blocked with plastic and debris. please resolve this issue soon.,Sanitation Department
Road  repair  work  incomplete  for  several  weeks.,Road Department
"Old flat wall plaster has fallen off, unsafe for residents.",Building Department
building structure showing deep cracks after heavy rain.,Building Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Sewage backflow inside homes during rainfall.,Sewerage Department
"Water pressure too low, unable to fill tank.",Water Supply Department
"No garbage issue today, area looks clean.",Sanitation Department
Electric  wires  snapped  and  lying  on  the  road.,Electric Department
"Plaster peeling from walls, building looks unsafe.",Building Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
no water supply in the colony since morning.,Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Current fluctuation damaging home appliances.,Electric Department
No water supply in the colony since morning.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Sewage  backflow  inside  homes  during  rainfall.,Sewerage Department
"street cleaning not done for a week, garbage everywhere.",Sanitation Department
"Drinking water contaminated, smells bad.",Water Supply Department
"No electricity since last night, transformer seems burnt.",Electric Department
The garbage truck hasn’t come for three days. please resolve this issue soon.,Sanitation Department
Potholes filled with water causing vehicle skidding.,Road Department
The roof of the building is leaking during rainfall.,Building Department
Sewer pipeline damaged causing leakages.,Sewerage Department
The roof of the building is leaking during rainfall.,Building Department
Damaged  footpath  blocking  safe  walking  area.,Road Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
No water in tank even after scheduled supply time.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
foul smell coming from underground sewerage system.,Sewerage Department
Drainage  line  blocked  with  plastic  and  debris.,Sanitation Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
No water supply in the colony since morning.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Newly built road already showing cracks and uneven surface.,Road Department
Low  water  pressure  in  our  area  since  yesterday.,Water Supply Department
"Open manhole near park, dangerous for children.",Sewerage Department
Sewer pipeline damaged causing leakages.,Sewerage Department
No water in tank even after scheduled supply time.,Water Supply Department
Water coming muddy and not suitable for drinking.,Water Supply Department
Street lights are not working in our colony.,Electric Department
Water pipeline burst near main road causing wastage.,Water Supply Department
Manhole overflowing with sewage water on street.,Sewerage Department
the drainage is overflowing due to heavy rain.,Sanitation Department
Manhole overflowing with sewage water on street.,Sewerage Department
"No power cut in our area, transformer stable.",Electric Department
Electric wires snapped and lying on the road.,Electric Department
The roof of the building is leaking during rainfall.,Building Department
"Overflowing  bins  near  market  area,  needs  cleaning.",Sanitation Department
The garbage truck hasn’t come for three days.,Sanitation Department
Foul smell coming from underground sewerage system.,Sewerage Department
Cracks have appeared on the wall of the community building.,Building Department
Transformer burst causing short circuit and power failure.,Electric Department
Water coming muddy and not suitable for drinking.,Water Supply Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
Drainage line blocked with plastic and debris.,Sanitation Department
Tap  water  supply  irregular  since  last  week. please resolve this issue soon.,Water Supply Department
"Underground sewage clogged, foul smell spreading.",Sewerage Department
Tap water supply irregular since last week.,Water Supply Department
No water in tank even after scheduled supply time.,Water Supply Department
Water supply working fine with good pressure.,Water Supply Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
Potholes on main road causing accidents during rain.,Road Department
"Overflowing bins near market area, needs cleaning.",Sanitation Department
Road condition is good after repair.,Road Department
Holes on road making it dangerous for vehicles.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Transformer burst causing short circuit and power failure.,Electric Department
No water supply in the colony since morning.,Water Supply Department
Uncollected garbage making the area unhygienic.,Sanitation Department
"Footpath broken near school, pedestrians facing difficulty.",Road Department
No water supply in the colony since morning.,Water Supply Department
Current fluctuation damaging home appliances.,Electric Department
"Drinking water contaminated, smells bad.",Water Supply Department
New house construction encroaching on public property.,Building Department
"Open manhole near park, dangerous for children.",Sewerage Department
The garbage truck hasn’t come for three days.,Sanitation Department
Damaged footpath blocking safe walking area.,Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Cracks have appeared on the wall of the community building.,Building Department
Tap water supply irregular since last week.,Water Supply Department
Damaged footpath blocking safe walking area.,Road Department
"House foundation damaged, wall tilting slightly. please resolve this issue soon.",Building Department
Current fluctuation damaging home appliances.,Electric Department
current fluctuation damaging home appliances.,Electric Department
"House foundation damaged, wall tilting slightly.",Building Department
Sewer pipeline damaged causing leakages.,Sewerage Department
"Water  pressure  too  low,  unable  to  fill  tank.",Water Supply Department
Holes on road making it dangerous for vehicles.,Road Department
Potholes filled with water causing vehicle skidding. please resolve this issue soon.,Road Department
New house construction encroaching on public property. please resolve this issue soon.,Building Department
"Building wall broken after storm, debris blocking entrance.",Building Department
Uncollected garbage making the area unhygienic. please resolve this issue soon.,Sanitation Department
Transformer burst causing short circuit and power failure.,Electric Department
Blocked sewer line needs urgent cleaning. please resolve this issue soon.,Sewerage Department
The drainage is overflowing due to heavy rain.,Sanitation Department
"Street cleaning not done for a week, garbage everywhere.",Sanitation Department
wires  hanging  dangerously  near  the  electric  pole. please resolve this issue soon.,Electric Department
Drainage line blocked with plastic and debris.,Sanitation Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
cracks have appeared on the wall of the community building. please resolve this issue soon.,Building Department
The road near the hospital has large potholes.,Road Department
Newly built road already showing cracks and uneven surface.,Road Department
"House foundation damaged, wall tilting slightly.",Building Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
"Drainage system clogged, water overflowing onto road.",Sanitation Department
Newly built road already showing cracks and uneven surface.,Road Department
"No electricity since last night, transformer seems burnt.",Electric Department
Drainage line blocked with plastic and debris.,Sanitation Department
Current fluctuation damaging home appliances.,Electric Department
Electric wires snapped and lying on the road.,Electric Department
"Garbage not collected regularly, causing bad smell.",Sanitation Department
Street lights are not working in our colony.,Electric Department
"Road full of potholes, needs immediate repair.",Road Department
Damaged footpath blocking safe walking area.,Road Department
"Drinking water contaminated, smells bad.",Water Supply Department
Waste dumped openly on roadside attracting animals.,Sanitation Department
"Sewerage water mixing with rainwater, causing pollution.",Sewerage Department
Pipeline leakage near valve leading to water loss.,Water Supply Department
cracks have appeared on the wall of the community building.,Building Department
Drainage line blocked with plastic and debris.,Sanitation Department
"water pressure too low, unable to fill tank.",Water Supply Department
Drainage water stagnating and breeding mosquitoes.,Sanitation Department
Uncollected garbage making the area unhygienic.,Sanitation Department
"house foundation damaged, wall tilting slightly.",Building Department
Damaged footpath blocking safe walking area.,Road Department
Manhole  overflowing  with  sewage  water  on  street.,Sewerage Department
Power supply interrupted due to damaged electric pole.,Electric Department
"Plaster peeling from walls, building looks unsafe.",Building Department
"House foundation damaged, wall tilting slightly.",Building Department
Sewer line overflowing and spreading dirty water.,Sewerage Department
"Electric transformer making loud noise, possible fire risk.",Electric Department
The roof of the building is leaking during rainfall.,Building Department
No water supply in the colony since morning.,Water Supply Department
potholes on main road causing accidents during rain.,Road Department
The drainage is overflowing due to heavy rain.,Sanitation Department
The drainage is overflowing due to heavy rain.,Sanitation Department
Current fluctuation damaging home appliances.,Electric Department
No water in tank even after scheduled supply time.,Water Supply Department
Road damaged badly due to heavy traffic and rain.,Road Department
Foul smell coming from underground sewerage system.,Sewerage Department
No water in tank even after scheduled supply time.,Water Supply Department
